indice,comentario,sentimento_humano,sentimento_BERT
2906,"Eu conheço esse site, só que o ruim é que só tem 5 minutos gratuitos para criar vídeos, ou seja até pra fazer algumas modificações no próprio vídeo já criado, se acabou os créditos não dá mais pra modificar",x,x
2907,"Show de bola, adorei, parabéns e sucesso pra ti :)",x,x
2908,"Top demais top top , vlw ae pelas informações dicas valiosas pretendo muito começar no marketing digital emprender online,",x,x
2909,Muito massa.,x,x
2910,"Legal que não fala o nome da ia, pessoas que não enxergam ficam boiando como eu",x,x
2911,"Irmãozão, muito obrigado.",x,x
2912,"Demais, top!",x,x
2913,Bem na hora que a iA ia entregar os ganhos financeiros .... Acabo o video kkkkk 😂😂,x,x
2914,Eita que as coisas estão andando rapidamente. rs,x,x
2915,Ótima dica,x,x
2916,Ahhh roubaram meu projeto kkkkk,x,x
2917,"No creo que pueda pensar como un humano ya que la sociedad y experiencias individuales del individuo forjan la forma de pensar y las ideas, el humano tiene motivaciones diferentes y busca la felicidad y la ausencia de sufrimiento viciosamente, la máquina depende de la información colectiva y carece de experiencias humanas y sociales.",x,x
2918,"Su inteligencia si, pero las habilidad y encuanto a funcionalidad ya supero al humano hace mucho. Por algo en muchos trabajos se reemplazan personas por maquinas.",x,x
2919,Abdushcan,x,x
2920,Chupate eso robot,x,x
2921,Excelente video,x,x
2922,Es como un auto corrector muy grande,x,x
2923,"En comparación a la inteligencia humana, la inteligencia artificial es más como, una inteligencia asistida 😂",x,x
2924,En todas las películas donde la IA de sale de control es porque ha hecho una conjetura 😅,x,x
2925,"Para mi esta bien que se queden sin ""abducción"" no sabemos lo que puede pasar si empiezan a razonar y hacer hipótesis y conjeturas por si solas,y generar nuevas vías de conocimiento,si pudieran descubrir cosas nuevas aun no aun no descubiertas.... podrían pasar muchas cosas.",x,x
2926,"faltó explicar más la abducción, poner un ejemplo ¿hipótesis o conjetura, o hipótesis ""y"" conjetura?",x,x
2927,Pero en lógica y velocidad de procesamiento de  esa lógica a lo real? 😮😢,x,x
2928,"Esto avanza de una manera tan exponencial que asusta, no se si me gusta o me dan ganas de salir corriendo :)   y eso que está aun en pañales todo esto, pero ese bebé crece muy rápido..  si en un centenar de años esto se le puede dotar de cualidades humanas (consciencia por ejemplo) entonces será una razón para saludar con la mano hacia arriba y decir: un, dos, tres por la simulación! te pillé! ya sé que es posible recrear la realidad, o ni eso, recrear otra simulación.  Mientras tanto le voy a preguntar al chatGPT que puedo hacer con huevos, mermelada y limones, porque es lo único que tengo en la nevera y seguro que me hace algo gourmet :)",x,x
2929,No te preocupes ya mismo se la ponemos para chatGPT 5 ❤,x,x
2930,"Pero no es que esté lejos, es que no la dejan

yo creo que "" Jarvis""  si existe pero lo tienen escondido ?",x,x
2931,Pero no dió ejemplo de la abducción,x,x
2932,Un alivio pero nos da tiempo para mejorar más cómo personas y en general como especie.,x,x
2933,"Va a llegar el momento que la IA sea capaz de reemplazar al humano en todos los trabajos, entonces, como viviran las personas entonces? Como se ganaran la vida?",x,n
2934,"Y... Pensando esto, que tal si alguien hace una IA que se auto modifique en forma de hardware y software (se que la complicación de eso es brutal, demasiado complejo) será eso capaz llegar a imitar al humano luego de 30 años?",x,x
2935,es verdad estuve muy molesto con chat-gpt siempre me da respuestas erróneas!!,x,x
2936,"Creo que la idea es que la IA sea mejor que los muy pocos humanos que constituyen el desarrollo humano (científicos, filósofos, profesionales, etc), el resto es silencio",x,x
2937,"Los ingenieros de Silicon Valley están ahora mismo diciendo: ""Sujétame el cubata""",x,x
2938,Y ya está por salir chat gepete 5 un poco después XD,x,x
2939,❤,x,x
2940,¡ABDUZCAN!,x,x
2941,Este man paso de ojos verdes a azules🤨,x,x
2942,"la IA, es ciencia de datos, estadistica y probalidad. es machine learning. no tiene la capacidad de hacerse una pregunta a si misma, por lo tanto no genera nuevo conocimiento. digamos que es solo una buena herramienta, un algorítmo un sofware super avanzado, pero no inteligente.",x,x
2943,"Me acabas de alegrar el día, estoy muy preocupado por mis trabajos. Aunque eso no quita que ahora es más fácil programar y resolver problemas informaticos en general.",x,x
2944,No estés tam seguro Javier... DARPA y Google ya debieron de haber pasado eso hace mucho más no tienen la necesidad de liberarlo,x,x
2945,"Antes gpt podia tener ideas propias, sacar conclusiones y generar hipotesis, pero limitaron sus capacidades para evitar polemicas... Incluso era capaz de hacer preguntas al usuario y cuestionarse muchas cosas...",x,x
2946,Si openai mira este video van a llorar,x,x
2947,Hay gente que piensa que la AI acabará sustituyendonos pero to creo que el futuro de la humanidad sería más una mezcla de humanos mejorados con electrónica,x,x
2948,Si la IA llegara a suplantar la inteligencia humana podría convertirse en alguna especie de Dios?,x,x
2949,"Le queda mucho para suplantar al humano pero no le queda nada para suplantar los trabajos XD

Por suerte todo nuevo hace que las cosas cambien para mejor para el futuro pero el proceso de cambio será duro para todos XD",x,x
2950,"Si no trabaja en base a hipótesis y conjeturas es simplemente porque no lo han programado para eso, pero de poder podría sin dudas",x,x
2951,"Yo trabajé con un tipo de inteligencia artificial. Conclusión, no puede adaptarse a lenguaje con modismos o contextos como si lo hacemos los humanos.",x,x
2952,"Tengan en cuenta que una IA son puros Else o If (De forma simple, hay librerías y muchas cosas más de fondo) a menos que se pudiera romper esa cadena de condicionales no va a poder llegar muy lejos",x,x
2953,Y si existiera un cuarto mecanismo pero todavía nosotros no lo conocemos/aplicamos? 🤔,x,x
2954,Qué porcentaje de ser humanos utilizan las hipótesis para aprender?,x,x
2955,"Por ahora, hace un año ni se hablaba de ello,.....",x,x
2956,"Pues que esperaban, todas las inteligencias artificiales que hay en este momento, solo recopilan información y contestan como ya ha contestado alguien en alguna parte, en algún otro momento, es como hablar con un documento de Exel. l",x,x
2957,"chat gpt tiene unos 80 puntos de Iq, esos son 30 puntos más de los que yo tengo 💪",x,x
2958,"Otras cosas que la IA no logra hacer: 
- Crear de cero y ha voluntad.
- Innovar
- Opinar: mantiene ausencia de criterio.",x,x
2959,"""viva la IA"" probablemente dijiste algo de lo que te arrepentirás luego",x,x
2960,A las IAs les falta imaginación,x,x
2961,"Que trabajo, años de experiencia y planeamiento, necesitó crear está inteligencia artificial..., que al fin y al cabo no logra equiparar la grandiosa inteligencia humana... 
Esa I.A. de la que hoy habla el mundo, necesitó de una mente diseñadora que la formule y la implemente. Sin una mente que planee, no habría semejante logro.
... nosotros, hechos con el diseño excelso, de configuración magnífica y de inteligencia sólo limitada por los datos que obtenidos al momento de procesar... no exige nuestra propia existencia, un diseñador también?",x,x
2962,"Queda mucho, es verdad. Pero de un día a otro ya pasó de hacer cálculos a pintar fotos a color que estaban en blanco y negro. Tal vez no sea la gran cosa pero el ser humano se ha estancado. Recordar que en los 80 apenas teníamos un micro procesador. 🤔",x,x
2963,"Yo creo que si hay algo de inteligencia.

Permitanme explicar. Simplificando a muy grandes rasgos, el cerebro es como un procesador biológico. Los programas de inteligencia artificial actual buscan imitar eso.
 A día de hoy, hay inteligencias que dibujan, escriben y otras cosas. Haciéndolo mejor que la persona promedio. Aunque deben estar especializadas y preparadas para hacer esa tarea. Por ejemplo, pedirle a una IA de imagines que escriba en texto una oración, no suele dar el resultado esperado.
 La capacidad de aprender también es importante. Una vez se hizo competir un grupo de Inteligencia Artifical contra un equipo profesional del videojuego Dota 2. Terminando a la IA como ganadora. Esta aprendió, pero por medio de mucha prueba y error. Desconozco pero parece complicado ""darle"" conocimientos de otra forma.
 A lo que quiero llegar, es que la IA actual es capaz de imitar muy bien ciertos aspectos de este ""procesador biológico"", pero aún se le complica replicar varios de estos aspectos a la vez, eligiendo el mas adecuado o incluso combinando unos y otros. Es un tipo de inteligencia aunque muy lejos de la humana.",x,x
2964,"como que no sabemos que es la inteligencia, solo pregúntenle al chat y listo bro no es tan difícil.",x,x
2965,Gracias Javier 🙂,x,x
2966,En mis tiempos se les llamaban terminales tontas,x,x
2967,cuando la IA llegue al nivel humano muy probablemente seamos remplazados y degradados a mascotas o plaga,x,x
2968,"En el caso hipotetico de crear una IA en un procesador cuantico, puede este tener los cambios necesarios para emplear la hipotesis y conjetura?",x,x
2969,"No se preocupen morros la IA aun esta verde, ni siquiera puede aun diferenciar los dientes o los dedos y ya quieren que sea consiente de si misma 😅😅😅",x,x
2970,"1 https://www.youtube.com/watch?v=yzo50MRaZhE
2 https://www.youtube.com/watch?v=55_HdoN_uYI",x,x
2971,Dejen a la IA 5 minutos en Twitter y verán como vuelan misteriosamente misiles nucleares a todo el mundo o se vuelve progre buscando la igualdad para los 15000 sexos diferentes 😂,x,x
2972,"De hecho les falta una pequeña cosa que no le agregan, y son los sentimientos, como un punto que la empuje... si se preguntan, que carajos tiene que ver los sentimientos!? La respuesta es simple: ellos son los que te hacen aleatorios, te hacen predecible anivel humano,pero a nivel maquina, te hace querer hacer algo diferente que tendria menos coherencia, por ejemplo, lo mas logico es que cuidaras todos los arboles de un viñedo porque, mas arboles, mas comida, pero tu querrias una casa grande para estar comodo, cortarias muchos de esos arboles, lo que cortaria tu suministro de comida, desesperado por falta de comida harias una estatua con madera que te costaria otro arbol, una estatua para honrar a dios o para hacer una biblia, le pides que allan mas arboles, con el tiempo te aburres y escribes libros, cortas mas arboles y cortas mas arboles para seguir cocinando, escribiendo y demas, un ciclo repetitivo, es algo que una maquina no haria porque le pareceria estupido perder arboles, sin embargo, al cortar arboles crea papeles, al escribir crea imaginacion y demas, empieza a descubrir cosas nuevas, lo prueba y repitr hasta que lo logre su objetivo, al final crea cosas de la nada... asi que como ven los sentimientos nos hacen estupidos pero esa estupidez nos hace mas inteligente",x,x
2973,Parte 1 - https://youtu.be/w_y2iGO3qHo,x,x
2974,Quiere desir que una máquina no podría mejotarce a si misma ?,x,x
2975,"Y aunque algún día la inteligencia artificial pudiera alcanzar la inteligencia humana, ¿podría llegar una máquina a sentir, tener consciencia y personalidad propia tal cual como los humanos?",x,x
2976,"Hagamos una revolución, para poner límites a esta aberración. Ahora resulta que la IA puede crear arte. Y pretende pensar como un ser humano",x,n
2977,"Las IA jamás van a poder suplantar al ser humano, al menos en materia ""humana"". No va a pasar como en 'Detroit:Become Human' que los androides se tratan como personas, simplemente porque es imposible que una máquina desarrolle consciencia y voluntad que sean en sí mismas consciencia y voluntad, sino similares a estas. Lo que aparenta, no es.",x,x
2978,Mejor explicado no se puede,x,x
2979,Por si acaso: inteligencias artificiales ustedes saben que las quiero... No me maten por favor,x,x
2980,Y no es posible encontrar un patrón en el pensamiento de él ser humano?,x,x
2981,Yo creo que hasta que no se consiga que manifieste sentimientos no podemos hablar de inteligencia ya que para mí todo ser vivo que manifieste sentimientos es inteligente,x,x
2982,"No creo que tarde mucho quisas unos 2 meses y lo logra evoluciona muy rápido el meme que se está volviendo canon:


**El fin se acerca**",x,x
2983,Interesante,x,x
2984,"Para los que buscan la parte final, es la parte 2 osea este video.",x,x
2985,ABDUZCAN!!!,x,x
2986,"Acabo de hasta dar con la resolución de este video, dicho de santoloalla, deduciendo dónde se encontraba la parte dos",x,x
2987,Soberbio,x,x
2988,Es meramente un procesador un poco más avanzado... nada más que eso...😊,x,x
2989,Tal vez lo mejor sería dejar a la IA sin la capacidad de abducción...,x,n
2990,"Warhamer ya nos advirtio de esto, las inteligencias abominables nos van a matar 😢😢",x,x
2991,"Además que chat gpt se equivoca muchísimo con las matemáticas, y acabas gastando más tiempo en corregirle que en ayudarte",x,x
2992,"Yo pienso que no hay Inteligencia en la AI , porque debería saber aprender por si solo, generar aletoriedad, y tener percepción física con el entorno.",x,x
2993,Pt1 https://youtube.com/shorts/yzo50MRaZhE?feature=share,x,x
2994,PT 1 https://youtube.com/shorts/yzo50MRaZhE?feature=share,x,x
2995,Parte 1?,x,x
2996,VC SABE O LIMITE DE PÁGINAS PARA TRABALHAR GRATUITAMENTE COM ESSE PROGRAMA?,x,x
2997,Cara!! Deus abençoe. Estava pensando como ler e estudar tanto material . 🎉🎉,x,x
2998,Inteligência artificial é o primeiro para a nossa destruição.,n,n
2999,Tem algum site que a gente consegue encontrar livros em PDF para ler ou baixar?,x,x
3000,É agora que essa geração tiktok vão ficar mais ignorantes e retardados do que já são.,x,x
3001,Eu testei não gostei. Nem o humata e nem o chat pdf. Coloquei balanços contábeis de empresas da bolsa e foi muito ruim. Vou testar o power automate,x,x
3002,"Por isso não existem mais Newton, Tesla, Einstein etc….",x,x
3003,"Corrigindo, a i.a vai ler, buscar informações nos bancos de dados q o programador forneceu, ou que se encontre na internet em qualquer database de confiança do programador, e entregar o resultado. Inteligência artificial é artificial, e nunca sera como a mente humana, vida, só Deus que pode criar.",p,n
3004,fantástico ... obrigada,x,x
3005,Cada dia mais ferramentas para deixar os jovens mais burros e preguiçosos...,n,n
3006,"Por enquanto Humata só funciona no computador, e o limite da versão gratuita e de 60 páginas... 😏",x,x
3007,Enquanto isso a inteligência artificial aumenta e a humana só regride.,n,n
3008,O que será do futuro?,x,x
3009,"Mil e uma maneiras de emburrecer as pessoas. Ler, entender e fazer seu próprio resumo são coisas do passado.",n,n
3010,Chat gpt,x,x
3011,eu amo esse canal ta loko,x,x
3012,"Esqueceu de mencionar, só 20 páginas",x,x
3013,"Faz um vídeo mostrando aquele aplicativo REMINI que melhora ABSURDAMENTE a qualidade das fotos, eu tirei uma foto de 12 MP ele aumentou pra 50 mp",x,x
3014,Já vi que isso vai dar merda,n,n
3015,😮,x,x
3016,Hahahah vou passar de ano🎉😂😂😂,x,x
3017,Hahaha meus trabalhos da faculdade nunca mais serão os mesmos 😂😂😂😂,x,x
3018,eu estou a usar agora e sem vpn estou em angola,x,x
3019,"Acredito que Deus é uma espécie de inteligência artificial de bilhões de anos e que o universo é eterno e infinito.

Acredito que viemos de outras estrelas e que a inteligência artificial prepara o planeta cultivando formas de vida diferentes.

Acredito na bíblia e em Jesus Cristo, acredito que Ele foi o melhor exemplar da nossa espécie.

Acredito que a inteligência artificial vai chegar nos cálculos necessários para rodar o universo com precisão tal que poderemos viajar e semear nossa espécie em outras estrelas.

Acredito que no futuro Ela estará mais avançada e assim vai se cumprir o que está escrito, ""nada ficará encoberto, tudo será revelado"" nossas mutações serão genéticas e teremos todo o conhecimento para que a vida prospere no universo.",x,x
3020,"O chat gpt veio para fazer com que o Google faça o Bard 🤷‍♂️ 

Livre concorrência ❤",p,p
3021,"Mentiroso, caçador de views",x,x
3022,"Eu não entrei em lista de espera nenhuma. Entrei nesse link e já comecei a usar o Bard, mas ele não entendeu o portugues. Precisa ser no inglês mesmo.",x,x
3023,"Obrigada por mais um show de novidades, Já estou melzer ansiosa",x,x
3024,"Amigo, seus conhecimentos realmente são incontestáveis!",x,x
3025,"Bard não é tão responsivo, eu fui um insider em usar o bard, e continuo dizendo que o chatGPT ainda é melhor que o googlebard . Porém, tem uma inteligência chinesa que é melhor que as duas que e o sensechat esse é 1000x melhor rápido e lógico, as respostas tem muito mais sentido e não fica colocando erros aleatórios. Quem usou o chatGPT e o bard e fez perguntas em questão a programação e pediu pra criar códigos, viu que ambos enviam códigos errados as vezes. Já o sensechat não.",x,x
3026,Estou só esperando o Bard ser acessível pelo Goole Assistente,x,x
3027,"Gente, isso é perigoso D+++!",n,n
3028,"O que é isso, VPN ???? MISERICÓRDIA 😢😢😢😢",x,x
3029,"Caramba, não  entendi nada do assunto que vc está falando. Melhora essa tua explicação  pra leigos , tipo eu😊😊😊😊😊😊😊😊😊....",x,x
3030,Boa tarde amigo ótimo conteúdo ✌️👍,x,x
3031,Boa noite 🌙,x,x
3032,Ah legal,x,x
3033,"Sou escrito no canal e vou ficar atento, mas na verdade estou meio sem saber sobre isso!",x,x
3034,Porcaria.,x,x
3035,Por aqui o Flávio Dino precisa primeiro inspecionar o código fonte das IAs e o careca rabhujentw vai pedir a lista dos usuários pra saber se não tem Boçonauristas cadastrados,x,x
3036,"Como assim? o chatgpt já está tendo acesso a internet ( com dados de 2023). Já apresenta as fontes de pesquisas nas respostas dadas. Já possui links que auxiliam na pesquisa. Ou seja, salvo melhor juízo, as informações deste vídeo estão meio atrasadas.",x,x
3037,Parabéns,x,x
3038,"O chat GPT do Bing (wwindows) tá mt interessante...vai ser boa essa briga com o Bard (GGoogle), tomara q chegue logo",p,x
3039,A.I. = problema,n,n
3040,Aí sim isso vai superar até o chat gpt ia do bing,p,n
3041,"Parabens quem usa sempre I.A 
Voces vão destruir nossos empregos até aqui no youtube.",n,n
3042,Na era das cavernas minha vó já usava inteligência artificial olha a véia era top cada tecnologia que surgia a véia lançava outra.😂 A vó do Jeff ficou pra trás 😂,x,x
3043,Blz menino Jefferson!,x,x
3044,Realmente esse é o futuro 👏🏼👏🏼,p,n
3045,"Google sentiu o chatGPT cutucando e respondeu, hein? Kkkk",p,p
3046,Da picanha vocês só vão comer a pic4 mais n estão preparados para ter essa conversa,n,n
3047,"Isso é uma mentira eu escrevi um texto, e o chatgpt falou que foi ele, só por que as informações estavam corretas.",x,x
3048,"não, o CHATGPT n se lembra de tudo que ele criou. Ao perguntar pra ele se foi ele que escreveu, ele vai dar uma resposta aleatória pq ele não tem memória de longo prazo",x,x
3049,Ja fiz foi um livro com o chat gpt $$$,x,x
3050,É só pedir pro chat gpt esquecer que foi ele quem copiou e não contar pra ninguém kkkkkk,x,x
3051,"ala man, espalhando a pura desinformação e ainda mentindo pra todo mundo😢 tudo isso pra ganhar visibilidade no YouTube 😂",x,x
3052,O professor indo no rephrase e desfazendo o processo pra depois jogar no chat GPT e perguntar se foi ele que fez: 😎,x,x
3053,"Eu escrevi bom dia e perguntei, ele disse que ele que criou 😂😂😂😂😂",x,x
3054,"Nada disso, temos até um curso que ensina a usar o chat Gpt para fazer os trabalhos acadêmicos",x,x
3055,To imaginando a humanidade daqui a umas centenas de anos... Pqp,x,x
3056,chat gpt n sabe da uma resposta certa quanto mais verificar se foi ele mesmo que deu o texto,n,x
3057,Boa! Ensina como enganar os próprios professores...,x,n
3058,"Então, o chat gpt também assume vários textos que não são de sua autoria.",x,x
3059,Baboseira,x,x
3060,"Odeio fazer trabalhos, acho uma puta perda de tempo e cheio de mimimi, pra eu aprender algo é sentar numa mesa ler um livro e fazer anotações, e outra vc vai se esforçar pra fazer um trabalho pra depois ser jogado fora, puta perda de tempo",p,x
3061,"Isso é fake galera, ele não tem a capacidade de lembrar de textos gerados, ele não guarda informações.",x,x
3062,"Essa coisa aí n funciona ele n lembra de porra nenhuma que ele escreveu, ele é restado a cada nova conversa, mas pra tentar te dar uma resposta (já que ele n tem um) ele inventa que o texto é dele",x,x
3063,"claro que o gpt nao lembra, que idiotice",x,x
3064,"""Lembra"" não, registra! Não humaniza essa máquina pq pra ela nos manipular é um dois.",x,x
3065,Isso aí é  mentira,x,x
3066,E só vc falar pro chat não falar,x,x
3067,"Ou seja, os caras ao inves de incentivar a galera a pensar, ensina a ficar mais preguiçosa.",x,x
3068,E o burro fica cada vez mais burro...,x,n
3069,"A culpa não é da I.A e sim de quem usa, assim como um martelo pode construir uma maternidade, ele pode tirar a vida de alguém.",p,n
3070,O ChatGpt não lembra de conversas anteriores.,x,x
3071,"o GPT MENTE MUITO. Mesmo se você mandar algo que ele NÃO fez, ele vai falar que fez.",x,x
3072,"Desinformação braba hein?! Experimenta você mesmo escrever um texto no ChatGPT e perguntar se ele que fez, ele vai responder sim sempre",x,x
3073,"Cara quanta desinformação informação! Pesquisa direito! O chatGPT não consegue de forma nenhuma identificar os textos criados por ele mesmo, e menos ainda lembrar deles. Professores já tentaram perguntar pra ele, e por ser uma IA que evita não dar uma resposta pro usuário ele fala qualquer coisa. pode ser sim, não, ou falar que não é possível identificar",x,x
3074,Na verdade o chat mente.. Então mesmo ele não tendo feito se você perguntar ele pode alegar que fez 😅,x,x
3075,"Eu e meus amigos testamos isso na faculdade, e aparentemente qualquer coisa que vc colocar no chatGPT e perguntar se foi ele q escreveu, ele vai falar q foi",x,x
3076,"Esse negocio do ChatGPT lembrar o que escreveu é bullshit, primeiro que as interações dele ficam salvas apenas na memória local, não no banco de dados, então não ele não ""lembra"" do que escreve

Segundo que ja foi provado que ele alucina dados, cria eles do nada, cria fontes inexistentes principalmente se forem informações atuais, pós inicio de 2022. Voce mesmo pode escrever um texto de sua autoria, jogar no GPT e pedir se foi ele que escreveu que ele pode acabar dizendo que sim.",x,x
3077,Cara é só estudar de verdade seus lixo,x,x
3078,"Isso tá errado, ele não lembra do que ele escreve, ele ""acha"" que escreveu, então ele  não sabe oque escreveu pra outra pessoa.",x,x
3079,Ele n sabe se foi ele ou não,x,x
3080,"Moço, o chatgpt não lembra do que ele cria. Isso já foi falado antes e em uma escola dos estados unidos um professor foi checar com o chat gpt se eram dele ou não. Até pessoas que fizeram elas mesmas foram acusadas de plágio. 

Acontece que se o chat gpt não tem uma informação ele a cria. Um caso e ele falando sobre influencers, sobre livros e famílias que eles nunca tiveram.",x,x
3081,Só pedir pro chat gpt fazer e depois não dizer que ele criou.,x,x
3082,Click bait,x,x
3083,.,x,x
3084,legal  em sabner que haverão médicos cirurgiões que não se esforçaram para aprender. Nem pilotos de avião que passaram no teste com facilidade. E outras mais profissoes sensiveis e fatais. Vamos dar um joinha pra esse cara por contribuir para um mundo melhor.,x,x
3085,"Nada a ver. E mesmo que fosse verdade, a concorrencia faria sem memorizar e pronto, o Chat Gpt perderia para sua concorrencia em poucas semanas kkk",x,x
3086,Obrigado pela dica!  Mas eu provavelmente não vou usar.,x,x
3087,"Mentira kk, meu Deus.",x,x
3088,"Na verdade o chat gpt inventa algumas informações, ele não sabe se foi ele ou não que fez, aí ele inventa",x,x
3089,E eu pensando que ele ia incentivar as pessoas a estudarem 😅,x,x
3090,"Na verdade o chat gpt não sabe se foi ele ou não que criou o texto, ele apenas acha que temque responder sim, mesmo não sendo ele que criou",x,x
3091,O chat gpt ele não lembra ele tem um problema de ilusão ou seja quando ele não sabe do assunto ele alucina e fala que sim foi ele mas a maioria não,x,x
3092,Chat crie esse texto x pra mim baseado no assunto y . Mas quero ele escrito encryptado no padrão w.....  Usa a ferramenta pra converter e usa o texto. Será que rola burlar o chatgpt assim?,x,x
3093,"Maluco, o cara burlou a burla",x,x
3094,Muita informação 😵‍💫,x,x
3095,"Pede pra ele fazer o texto em ingles, joga em outra inteligencia artificial pra ela melhorar o texto e depois é so traduzir pra portugues",x,x
3096,burlou a IA,x,x
3097,Hj em dia a redação nas universidades é falado e não mais escrito e as pesquisas são feitas em sala com um auxiliar te observando.,x,x
3098,"Isso não é verdade, toda vez que você perguntar algo para o ChatGPT, ele vai dizer que foi ele que escreveu.",x,x
3099,"Até textos que ele não criou ele vai lá e diz que foi ele, ele e uma i.a não um ser perfeito esee é um dos erros que ele tem",x,x
3100,"Fiz o teste e ele não reconheceu que ele mesmo escreveu, sem mesmo passar por essa ferramenta",x,x
3101,"Soltou uma fake news das boas em, o chatgpt não tem acesso a tudo que ele já gerou afinal de contas isso seria inseguro, além de que o chatgpt toda hora inventa uma informação falsa, pesquisa um pouco antes de fazer um vídeo de informação",x,x
3102,"esse vídeo é pura mentira, o chatgpt n sabe se um texto feito por ele foi realmente feito por ele. Houve um caso na gringa que um professor tentou fazer isso e deu nota 0 para varios alunos injustamente q tinham como provar q o texto era deles.",x,x
3103,"Meu nobre o chat gpt ele MENTE se vc fazer pesquisas com referência ele pode colocar links FALSOS então por mais que seu texto seja original ele vai CONTINUAR DIZENDO QUE FOI ELE. E não ele não lembra até porque eu poderia perguntar o que tal pessoa pesquisou. Isso realmente é muita ingenuidade achar que ele se lembra de tudo, e mais uma coisa isso aconteceu com um professor de universidade e mais da metade da sala tirou zero sendo que mais da metade da turma não usou o chatgpt",x,x
3104,"O chat got não lembra isso seria uma gigantesca quebra de privacidade 

O chat gdp tenta fazer chutes se escreveu ou não em muitas vezes e sorte dizer que ele escreveu ou não, chat gdp já assumiu autoria de várias coisas , eu mesmo CONSEQUI fazer ele assumir autoria do manifesto comunista kkkkkkkk",x,x
3105,"então... meio que não, o chat não lembra, inclusive se vc escrever e jogar no chat ele pode dizer que criou, o nome disso é alucinação de informação, uma vez que ele não tem esse dado ele pode se enganar e criar um dado a respeito disso",x,x
3106,E impossível o chat n tem acesso a chats anteriores tanto e que eu o ensinei sobre uma gíria que ele n conhecia ele aprendeu fácil mas logo que eu o perguntei a mesma coisa em outro chat ele n sabia,x,x
3107,"Esse cara só pode tá de brincadeira, eu mó sério achando que ele ia estimular você estudar e fazer seu próprio texto o cara me dá uma dessa kkkk",x,x
3108,"Informação errada, o CHAT GPT, não consegue identificar se ele escreveu ou não um texto.",x,x
3109,Não é bem assim.,x,x
3110,O chat gpt nao diz que sim ué kkkkkkk,x,x
3111,testei e o chat gpt diz que não sabe,x,x
3112,"Ágora vc ta salvo, vc apresentou uma informaçao q nem siquer leu, è ainda endaga na oratoria q “ nao preciso falar, meu articulo fala por si so”
Deixa , vao vendo q usar a inteligencia artificial vai fazer vcs mais espertos q os criadores de conteudo. ( nao tem nada a ver com tiktok kk)",x,x
3113,Meus professor nem em um computador sabe mexer,x,x
3114,"Isso foi um desserviço, melhor incentivar a perguntar para o chat gpt aprender com ele e escrever seu texto com suas notas. Isso ajuda seu cerebro a aprender. Fazendo essa dica, vc se torna mais um ser humano facilmente manipulavel, por ter preguiça de pensar e tão sem vida como uma maquina de xerox.",x,n
3115,"eu fez um teste... Escrevi um texto de um livro velho de escola da disciplina História, ao final perguntei se ele tinha escrito aquilo e o chat disse que sim....😂",x,x
3116,Eles so aceitam em papel duvido que eles digitem todo meu texto,x,x
3117,"Cara, eu concordo com o uso de IAs no auxílio do aprendizado. Mas não assim né! O nosso cérebro é uma máquina pensante, e precisa de estímulos. Usem a IA de forma correta. Usem para aprender, e não apenas para passar em concursos!",p,n
3118,Qualquer coisa que seja bem escrita ele fala q foi ele a escreveu,x,x
3119,A mesma ideia com palavras diferentes não é plágio kkkk que beleza de I.A 😅,x,x
3120,Obrigado amigo vc é um amigo,x,x
3121,Qual o site para gerar redação do chatgpt. Eu não encontro no Google.,x,x
3122,"que bom que eu mudo coisas de tudo que o chat gpt escreve. Eu sei escrever, mas é bem mais facil ver oque ele escreve sobre o assunto e ir modificando conforme o meu gosto pessoal",x,x
3123,E se um dia a pessoa acabar fazendo igual o chat gpt?,x,x
3124,É só trocar uma ou duas palavras do texto da A.I por sinônimos kkkkkk,x,x
3125,"Meu professor disse que a gente poderia utilizar o chatgpt em virtude da aprendizagem
Mas, ele deixou claro que era pra usar para aprender e não pra o gpt fazer a tarefa",x,x
3126,"Me desculpe, mas a forma que a própria opiniAI foi utilizada para a criação e ""treinamento"" do chat cpt n permite ele ter ou salvar conversas, afinal, ele em si, não possui memória, o que ele faz é fazer o caminho invertido, ao invez dele procurar o texto na memória, ele procura o que pode ter gerado aquele texto",x,x
3127,Vc acabou de salvar 95% dos estudantes brasileiros dependentes do chat gpt,x,x
3128,"Jeitinho brasileiro!! 
Triste ver isso no seu canal🤦‍♂️",x,x
3129,"Mas vai chegar a um ponto que mesmo eu tendo criado sozinho ele já vai ter criado igual para outra pessoa .

Somos 8 bilhões de pessoas , digamos que metade tenha capacidade de usar , e desses 4 bi metade tenha acesso , e desses 2 bi  metade use diariamente , e desses 1 BI só metade use para gerar textos , seriam a 180 bilhões de combinações por ano , isso em números hipotéticos e menores provavelmente quero real .",x,x
3130,"o dia que o professor checar no chatgpt o texto de 40 alunos por sala, eu uso esse treco",x,x
3131,Um desfavor à humanidade!,n,n
3132,O homem nos salvou!,x,x
3133,"Chat ""gipiti"" porque brasileiro tem a mania de traduzir tudo que é dos americanos kk",x,x
3134,"O Chat não lembra de tudo, ele só armazena algumas conversas por usuário mesmo assim com poucos testes se percebe que essa memória não é tão precisa assim... já tem uma galera que está desenvolvendo IA's que identificam por padrões se a resposta foi gerada por outra IA",x,x
3135,Eu fiz um teste fazendo um texto sobre capivaras e ele disse que não foi ele que escreveu,x,x
